Barcode,Brands,Product name,Generic name,Serving quantity,Serving qty unit,Serving size,Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
7790580504007,Arcor,"Arcor, quicnce jam dulce de membrillo",N/A,70,g,1 SLICE (70 g),286,0,0,0,0,0,0,70,54.29,0,0,0,0,0
7790580511708,Arcor,Mermelada de fresa light,N/A,100,g,100g,136,0,0,0,0,0,0,33,27,0,0,0.026000000000000002,0,0
7790580747008,Arcor,Assorted Bonbons With Chocolate,N/A,34,g,2 PIECES (34 g),559,0,35.29,11.76,0,0,5.88,47.06,41.18,0,2.9,0.11800000000000001,0,0.015
7790616080116,Valcalin,Dulce de leche,N/A,20.0,g,1 tbsp (20 g),305,0,7,4.5,0,0,0,55,48.5,0,0,0.12,0,0.02
7790710000102,CBSé,Hierbas Serranas,"yerba mate elaborada con palo compuesta con hierbas serranas, libre de gluten.",N/A,N/A,N/A,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0
7790742104205,La Serenísima,Dulce de Leche Estilo Colonial,"dulce de leche, libre de gluten.",20,g,1 cuchara 20 g,315,0,8,4.5,0,0,0,55,50,39.5,0,0.125,0,0
7790742140609,La Serenísima,Dulce de Leche Estilo Colonial,"dulce de leche, libre de gluten.",20.0,g,1 cuchara de sopa (20 g),310,0,7.5,4.5,0,0,0,55,0,0,0,0.125,0,0
7790742144607,La Serenisima,Dulce De Leche,N/A,N/A,N/A,N/A,320,0,18.5,5,0,0,0,55,30,0,0,0,0,0
7790742162106,La Serenisima,Leche Descremada 1LT La Serenisima Tetra,N/A,N/A,N/A,N/A,45,0,1.5,0.9,0,0,0,4.7,2.4,0,0,0.264,0,0
7790787153664,ilolay,Dulce de leche Ilolay 299471,N/A,N/A,N/A,N/A,305,0,6.5,4,0,0,0,55,55,0,0,0.04,0,0
7790895000218,Coca-Cola,Coca Cola,N/A,200.0,ml,200ml,30,0,0,0,0,0,0,7.5,7.5,0,0,0.0061,0,0
7790895000997,Coca-Cola,coca cola,N/A,200.0,ml,200ml,30,0,0,0,0,0,0,7.5,7.5,0,0,0.006,0,0
7791019171722,3 Arroyos,Salvado de avena,N/A,N/A,N/A,N/A,344,0,8,2,0,0,0,53,0,0,15,0.048,0,0
7791058010662,Manfrey,Dulce De Leche,N/A,N/A,N/A,N/A,310,0,6.6,3.6,0,0,0,56,51,0,0,0.08,0,0
7791337011311,La Serenísima,Casancrem Light,N/A,30.0,g,30g,130,0,7,4.67,1.67,0,0,7.67,0,0,0,0.147,0,0.02
7791337012035,La Serenisima,CasanCrem Clásico,N/A,30,g,30 g,211.61999999999998,0,20.7,14,5.33,0.667,0.667,6.33,0,0,0,0.169,0,0.0567
7791337094017,La Serenisima,Danonino Maxi vainilla,N/A,N/A,N/A,N/A,106,0,3.2,2,0,0,0,14.4,7.2,0,0,0.24,0,0
7791400067078,Coconut Merchant,Merchant Organic  Jam,N/A,N/A,N/A,N/A,448,0,23,23,0,0,0,57,57,0,0,0.04,0,0
7791445001167,Cruz de Malta (estacionamiento natural),yerba mate,N/A,3,g,1 BAG (3 g),0,0,0,0,0,0,0,0,0,0,0,0,0,0
7791451801249,N/A,Dulce de membrillo,N/A,N/A,N/A,N/A,272,0,0,0,0,0,0,60,36,0,0,0,0,0
7791679000554,La Litoralena,Tallarines,N/A,125,N/A,125 g (1 cup),256,0,1.2,0.4,0,0,0,54.4,1.6,0,0,0,0,0.004
7791813423522,7up,7up,N/A,200,ml,200 ml,40,0,0,0,0,0,0,10.5,10.5,0,0,0.009,0,0
7791866001364,"Natura,AGD",Mayonesa,Mayonesa,12.0,g,1 cuchara de sopa 12 g,317,0,30.8,3.33,12.5,15,0,7.5,0,0,0,0.833,0,0.0333
7791875000013,Havanna,Alfajores Mixtos,alfajores rellenos de dulce de leche cubiertos con merengue y con cobertura de chocolate.,N/A,N/A,N/A,375,0,13,7.1,0,0,0,31,31,0,0,0.0244,0,0
7791875000020,Havanna,Havanna Luxury Alfajores Mixed Chocolate / Snow X,Alfajores rellenos con dulce de leche cubiertos con merengue y una cobertura de chocolate. Surtidos,25.0,g,1 package (25 g),360,0,11.2,6,0,0,0,60,34.8,34.4,0.4,0.048,0,0.0272
7791875000334,Havanna,Galletitas de Limón,galletitas dulces rellenas con sabor a limón.,25,g,1 piece 25 g,440,0,20,9.6,0,0,0.4,64,28,0,0.4,0.176,0,0.0104
7791875000440,Havanna,Alfajores Chocolate Clásico,alfajores rellenos de dulce de leche con cobertura de chocolate.,55,g,1 unidad 55 g,375,0,13,7.1,3.3,2,0,58,31,0,0.2,0.061,0,0.022
7791875005353,Havanna,Dulce de Leche,"dulce de leche, libre de gluten.",20.0,g,1 tsp 20 g,297,0,6,3.6,0,0,0,57.5,57.5,0,0,0.12,0,0
7791875006107,Havanna,Alfajores gateaux dulce de leche,N/A,N/A,N/A,N/A,320,0,8,4,0,0,0,56.2,28,0,0.2,0.048,0,0
7792075000018,N/A,galletas de arroz integral RiceDiex,N/A,N/A,N/A,N/A,348,0,2.7,0.8,0,0,0,72,0,0,10,0.41,0,0
7792129002180,Nosugar,Sucralose Sugar Sustitute,N/A,1,N/A,1 g (1 g),0,0,0,0,0,0,0,0,0,0,0,0,0,0
7792170000647,"Quaker,Pepsico",Avena Instantanea,N/A,40.0,g,40 g,347,0,7.9,1.5,3.6,2.7,0,56,1,0,11,0.007,0,0
7792170001224,Quaker,Galleta Tipo Casera de Avena con Pasas,N/A,N/A,N/A,N/A,400,0,16,2,12,2,0,57,28,0,8.3,0.263,0,0.0073
7792170002054,Gatorade,N/A,N/A,200,ml,200 ml,24,0,0,0,0,0,0,6,6,0,0,0.045,0.012,0
7792200020096,N/A,Gallentitas Paseo Con Salvado,N/A,30,N/A,30 g (9 PIECES),467,0,16.67,6.67,0,0,0,63.33,0,0,6.7,0.734568,0,0.017
7792260639597,Orieta,"Peach Marmalade, Peach",N/A,20,g,20 g (20 g),300,0,0,0,0,0,0,65,5,0,5,0,0,0
7792280000469,N/A,Yerba Cachamate X Amarilla 500 G,N/A,50.0,g,50g,18,0,1,0,0,0,0,0,0,0,0,6.8,0,0
7792360072423,N/A,Mecano,N/A,N/A,N/A,N/A,425,0,22,12,0,0,0,60,60,0,0,3.4,0,0
7792710000014,N/A,Amanda - yerba mate1KG,N/A,N/A,N/A,N/A,94,0,0,0,0,0,0,19.799999237061,4.8000001907349,0,0,0.0174,0,0
7792710000021,Amanda,Amanda Yerba Mate,N/A,50.0,g,50g,94,0,0,0,0,0,0,19.8,4.8,0,0,0.0174,0,0
7792710000038,Adams,Yerba Mate Amanda,N/A,N/A,N/A,N/A,94,0,0,0,0,0,0,19,4,0,0,0.04,0,0
7792710000090,amanda,Yerba mate amanda especial,N/A,N/A,N/A,N/A,176,0,0,0,0,0,0,9.4,0,0,0,0.022,0,0
7792710000113,N/A,Yerba Mate Amanda Organic 500G,N/A,N/A,N/A,N/A,9,0,0,0,0,0,0,0,0,0,0,0.4,0,0
7792710000151,Amanda,Amanda Yerba Mate Tea Bags X25,N/A,N/A,N/A,N/A,42,0,0,0,0,0,0,9.4,4.6,0,0,0.172,0,0
7792710000182,Amanda,Yerba Mate Tradicional,"yerba mate elaborada con palo, libre de gluten.",50.0,g,50 g,90,0,0,0,0,0,0,19.1,4.8,0,0,0.0174,0,0
7792710002179,Amanda,Yerba Mate,N/A,N/A,N/A,N/A,94,0,0,0,0,0,0,20,5,0,0,0,0,0
7792900000336,Dos Anclas,Chimichurri Dos Anclas 380GR,N/A,N/A,N/A,N/A,19,0,0,0,0,0,0,0.7,0,0,0,0.1056,0,0
7792931000022,glaciar,Glaciar Agua,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
7793046041443,N/A,Dulce de membrillo,N/A,N/A,N/A,N/A,276,0,0.2,0,0,0,0,67.9,45,0,0,6,0,0
7793104000191,Fincas El Renuevo,Aceite de oliva orgánico,Aceite de oliva orgánico extravirgen,15,ml,"15 ml, una cucharada sopera",840,0,93.3,0,0,0,0,0,0,0,0,0,0,0
7793450000616,Hojalmar S.A.,"Hojalmar, Puffy Crisp Pastries",N/A,25,N/A,25 g (25 g),520,0,32,8,0,0,10,56,24,0,4,0.30886399999999997,0,0
7793450000623,Hojalmar,Sugar Glazed Pastries,N/A,25,N/A,25 g (25 g),520,0,32,8,0,0,10,56,24,0,4,0.30886399999999997,0,0
7793670000670,Verdeflor,Yerba Mate compuesta,N/A,N/A,N/A,N/A,60,0,0,0,0,0,0,12,0,0,0,0.72,0,0
7793704000232,Playadito,Playadito,"yerba mate elaborado con palo, libre gluten.",50.0,g,50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7793817000020,Cabaña Micó,Dulce de frambuesa &quot;Cabaña Micó&quot;,Dulce de frambuesa,20,g,20g,284,0,0,0,0,0,0,71,0,0,0,0,0,0
7793913000337,Tregar,Creme chantilly tregar 3262342,N/A,20.0,ml,20 ml,270,0,26.5,18,0,0,0,8.5,0,0,0,0.03,0,0
7793913000894,Tregar,Yogur descremado Tregar Frutilla,N/A,160.0,g,160g,48.8,0,0,0,0,0,0,8.12,0,0,0,4.69e-05,0,0
7793940044007,Jaserenisima,Colonial Style Milk Caramel,N/A,20,N/A,20 g (1 Tbsp),300,0,7.5,5,0,0,0,55,55,0,0,0.127,0,0.025
7794000960091,Hellmann's,Mayonesa,Mayonesa reducida en valor lipidico libre de gluten SIN TACC,12.0,g,12 g,308,0,30.8,3.33,0,0,0,6.67,3.33,0,0,0.733,0,0
7794710005037,Veronica,DULCE DE LECHE,N/A,30.0,g,30 g (30 g),297,0,6.33,3.67,0,0,0,54,0,0,6.3,0,0,0.013
7794940000826,Hileret,Clasico,N/A,0.4,ml,"0,4 ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0
7796373002682,La Parmesana,Chimi Churri,aderezo a base de vinagre de alcohol con especias.,15.0,g,1 portion (15 g),15.9,0,0,0,0,0,0,2.67,0,0,0,1.31,0,0
7796425000048,Lapataia,Dulce de leche,Dulce de leche,20,g,20 g,283,0,7,4,0,0,0,55,55,0,0,0.168,0,0.0135
7797674049864,Nature valley,Nature Valley Crunch Granola Bars Apple Crunch,N/A,42.0,g,2 bar (42 g),452,0,17.6,6.19,0,0,0,69.3,27.1,0,6.43,0.329,0,0
7798039910072,Capitán del Espacio,Alfajores Por Tres,N/A,80.0,g,80 g,325,0,8.9,6.9,0,0,0,54,54,0,2,0.095,0,0
7798054490177,N/A,Dulce de leche,N/A,N/A,N/A,N/A,340,0,6,4,0,0,0,65,65,0,0,0.04,0,0
7798059750023,Kraus,"Yerba Maté, Iso, Irto",N/A,N/A,N/A,N/A,22,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0
7798059750252,N/A,Mate Tee Kraus Mate Organica 500g - Bio Und Fair Trade,N/A,N/A,N/A,N/A,22,0,0,0,0,0,0,1.6,1.6,0,0,0,0,0
7798059750269,N/A,Yerba Mate Kraus Pure Leaf Organic 500G (1X500G),N/A,N/A,N/A,N/A,10,0,0,0,0,0,0,2.2,0.32,0,0,0.216,0,0
7798082743726,N/A,Tostaditas de arroz,N/A,N/A,N/A,N/A,376,0,3,0.6,0,0,0,76,0,0,2.4,0.24,0,0
7798085680141,citric,Citric,N/A,200,ml,200 ml,41,0,0,0,0,0,0,9.5,0,0,0.6,0,0,0
7798085680165,Citric,Jugo de pomelo con pulpa,N/A,200,ml,200ml,29.5,0,0,0,0,0,0,6.5,6.5,0,0.9,0,1.33e-07,0
7798108347891,Carrefour,Ananás en rodajas,N/A,140.0,g,140 g,120,0,0,0,0,0,0,29,28,0,1,0,0,0
7798120330017,Regidiet,Dulce de Leche Dietetica,N/A,N/A,N/A,N/A,232,0,4.8,3.2,0,0,0,38.3,29.5,0,0,0.06,0,0
7798126290346,Marian Arytza,Traditional argentine seasoning,N/A,5,g,1 Tbsp (5 g),580,0,40,0,0,0,0,0,0,0,0,1.04,0,0
7798128000165,Cachafaz,Alfajores Dulce de Leche,alfajores rellenos de dulce de leche decorados con coco rallado.,76.5437124375,g,1 unidad/piece 76 g / 2.7 oz,396,0,11.4,5.1,2.61,3.66,0,67.9,44.4,41.8,0.915,0.157,0.186,0.0144
7798128000462,Cachafaz,Alfajores Chocolate Negro,alfajores rellenos con dulce de leche con cobertura de chocolate negro.,56.69904625,g,1 pieza/piece 2 oz,430,0,15.3,7.76,4.94,2.65,0,58.2,40.6,33.5,1.76,0.0776,0.303,0.0123
7798128000493,Cachafaz,Alfajores Chocolate Blanco,alfajores rellenos con dulce de leche con cobertura de chocolate blanco.,56.69904625,g,1 unidad/piece 60 g / 2 oz,439,0,16.4,7.94,5.64,2.82,0,63.5,45.9,42.3,1.41,0.0776,0,0.0155
7798128001902,Cachafaz,Dulce de Leche,"dulce de leche sabor vainilla, sin gluten.",20.0,g,1 tablespoon/cucharada/colher de sopa (20 g/0.7 oz),315,0,7,4.5,0,0,0,55,55,45,0,0.12,0.33,0.02
7798132271605,N/A,Filet de poulet sans os sans peau congelé,N/A,N/A,N/A,N/A,110,0,4,1,0,0,0,0,0,0,0,0,0,0
7798147780055,"FraNui,RapaNui",bombones,Frambuesas Frescas de la Patagonia Bañadas en 2 Chocolates,25,N/A,25g,372,0,21.7,4.48,0,0,0,40.8,0,0,2.52,0,0,0
7798194230022,N/A,Langostinos argentinos crudos,N/A,N/A,N/A,N/A,68,0,0.5,0.2,0,0,0,0,0,0,0,0.156,0,0
7798196750016,fecoapi,Miel de abejas,N/A,20,g,20 g,335,0,0,0,0,0,0,80,0,0,0,0,0,0
7798263400028,Bonchía,Semillas de Chia,N/A,N/A,N/A,N/A,270,0,0.4,0.4,0,0,0,0,0.6,0,2.4,0,0,0
77915818,"Arcor,Cereal Mix",Cereal Mix Light Manzana & Avena,barra de cereales dietética con manzana.,23.0,g,1 barra/bar (23 g),269,0,2.5,0.3,1.5,0.4,0,70,13,0,14,0.096,0,0
77922663,Arcor,Menthoplus mentol,Caramelos duros de mentol y eucalipto,3.4,g,"3,4 g por cada unidad, contiene 9 unidades",0,0,0,0,0,0,0,0,0,0,0,0,0,0
77927361,Vauquita,Tableta de Dulce de Leche,"tableta de dulce de leche suave, libre de gluten.",22.0,g,1 tableta (22 g),314,0,0,0,0,0,0,73.2,0,0,0,0.182,0,0
77939234,Terrabusi,Alfajor Clásico,Alfajor relleno con dulce de leche con baño de reposteria,50.0,g,50 g (1 alfajor),400,0,15,8.2,0,0,0.2,59,40,40,1.9,0.169,0,0
77995407,Arcor,Barra de cereales cereal mix Yoghurt Frutilla Light,Barra de Cereales con yoghurt de frutillas,N/A,N/A,1 barra,348.1,0,8.9,4.2,0,0,0,67,18,0,8.9,0.168656,0,0.0011
7891000001516,"Nestlé,Nesfit",Tradicional,"Flocos de Trigo Integral, Arroz, Milho e Aveia",30,g,30 g,346,0,1.9,0.4,0.5,1,0,72,15,0,9.1,0.404,0,0
7891000085028,"Nestlé,Nesfit",Frutas,N/A,30,g,30 g,25.2,0,2.8,1.2,0.4,0.9,0,0,0,0,0,0,0,0
7891118013586,"Arcor, Poosh!",Chicle de Bola recheado sabor Tuti Frutti,chicle de bola com recheio líquido sabor artificial de tuti frutti.,5.0,g,1 unidade 5 g,320,0,0,0,0,0,0,80,66,0,0,0,0,0
7891167011779,Gomes da Costa,Atum Ralado Ao Natural,N/A,60.0,g,3 colheres de sopa (60 g),94,0,1.3,0.6,0.3,0.2,0,0,0,0,0,0.579,0,0.042
7891962032283,Bauducco,Wafer Fresa/Frutilla,oblea con relleno sabor fresa/frutilla.,30.0,g,5 unidades (30 g),473,0,24,12,8.4,3.4,0,60,36,0,1,0.16,0,0
7891962032290,Bauducco,Wafer Chocolate,oblea con relleno sabor chocolate.,30.0,g,4 unidades (30 g),457,0,25,13,8,3.5,0.2,53,34,0,3,0.163,0,0
7891962036915,Bauducco,Wafer Chocolate con Avellana,oblea sabor chocolate con relleno de crema sabor chocolate con avellana.,30.0,g,4 unidades (30 g),497,0,24,12,7.5,3.3,0.5,65,43,0,2.9,0.2,0,0
7898024394181,Ferrero,Nutella 350g,N/A,20.0,g,20g,542,0,31,11,0,0,0,58,56,0,3,0.042,0,0
8005121000061,Divella,Bucatini 6,pasta di semola di grano duro.,100.0,g,1/5 package (100 g),360,0,1.5,1,0,0,0,72,4,0,3,0,0,0
8005121000085,Divella,Spaghetti Ristorante 8,pasta di semola di grano duro.,100.0,g,100 g,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
