Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Sausage, Italian, pork, mild, cooked, pan-fried",1,link,86.6,322,18.2,26.2,9.15,11.6,4.96,0.1,2.15,0,0,0,766,310,80
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1,link,186,346,19.3,28.1,9.45,11.7,4.74,0.115,2.63,0,0,0,983,435,107
"Milk, whole, 3.25% milkfat, with added vitamin D",1,cup,249,60,3.27,3.2,1.86,0.688,0.108,0.112,4.63,0,0,0,38,150,12
"Sausage, turkey, breakfast links, mild, raw",1,package,450,169,16.7,10.4,2.53,3.07,3.15,0.104,0.93,0,0,0,599,310,78
"Sugars, granulated",1,teaspoon,4,385,0,0.32,0,0,0,0,99.6,0,0,0,1,2,0
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",1,paired cooked w,155,220,27.1,11.6,2.97,3.78,3.49,0.144,0,0,0,0,90,304,104
"Ham, sliced, restaurant",1,slice,16.2,121,19.6,3.68,1.25,1.6,0.675,0.017,2.36,0,0,0,1030,484,0
"Cheese, American, restaurant",1,slice,16,375,17.5,31.1,17.7,6.62,1.23,1.01,6.35,0,0,0,1600,173,0
"Beans, Dry, Medium Red (0% moisture)",100,g,100,111.36,25.5,1.04,0,0,0,0,0,0,0,4.3,0,1490,0
"Beans, Dry, Red (0% moisture)",100,g,100,95.64,21.3,1.16,0,0,0,0,0,0,0,4,0,1540,0
"Beans, Dry, Flor de Mayo (0% moisture)",100,g,100,100.94,23.3,0.86,0,0,0,0,0,0,0,4,0,1490,0
"Beans, Dry, Brown (0% moisture)",100,g,100,112.48,25.6,1.12,0,0,0,0,0,0,0,4.1,0,1580,0
"Beans, Dry, Tan (0% moisture)",100,g,100,117.46,26.8,1.14,0,0,0,0,0,0,0,4.4,0,1620,0
"Beans, Dry, Light Tan (0% moisture)",100,g,100,109.92,24.6,1.28,0,0,0,0,0,0,0,4.3,0,1230,0
"Beans, Dry, Carioca (0% moisture)",100,g,100,113.76,25.2,1.44,0,0,0,0,0,0,0,4.5,0,1390,0
"Beans, Dry, Cranberry (0% moisture)",100,g,100,108.67,24.4,1.23,0,0,0,0,0,0,0,4.3,0,1340,0
"Beans, Dry, Light Red Kidney (0% moisture)",100,g,100,109.27,25,1.03,0,0,0,0,0,0,0,4.5,0,1540,0
"Beans, Dry, Pink (0% moisture)",100,g,100,104.4,23.4,1.2,0,0,0,0,0,0,0,4.1,0,1490,0
"Beans, Dry, Dark Red Kidney (0% moisture)",100,g,100,115.39,25.9,1.31,0,0,0,0,0,0,0,4.3,0,1490,0
"Beans, Dry, Navy (0% moisture)",100,g,100,109.99,24.1,1.51,0,0,0,0,0,0,0,4.3,0,1470,0
"Beans, Dry, Small White (0% moisture)",100,g,100,109.88,24.5,1.32,0,0,0,0,0,0,0,4.3,0,1540,0
"Beans, Dry, Small Red (0% moisture)",100,g,100,105.52,23.5,1.28,0,0,0,0,0,0,0,4.1,0,1520,0
"Beans, Dry, Black (0% moisture)",100,g,100,110.65,24.4,1.45,0,0,0,0,0,0,0,4.2,0,1540,0
"Beans, Dry, Pinto (0% moisture)",100,g,100,105.96,23.7,1.24,0,0,0,0,0,0,0,4.1,0,1510,0
"Beans, Dry, Great Northern (0% moisture)",100,g,100,109.96,24.7,1.24,0,0,0,0,0,0,0,4.3,0,1520,0
"Broccoli, raw",1,cup,76,31,2.57,0.34,0.039,0.011,0.017,0,6.27,0,0,2.4,36,303,0
"Ketchup, restaurant",100,g,100,117,1.11,0.55,0,0,0,0,26.8,0,0,0,949,249,0
"Eggs, Grade A, Large, egg white",1,egg,34,55,10.7,0,0,0,0,0,2.36,0,0,0,0,0,0
"Eggs, Grade A, Large, egg yolk",1,egg,17,334,16.2,28.8,0,0,0,0,1.02,0,0,0,0,0,0
"Oil, canola",100,milliliter,90.9,850.59,0,0,6.61,62.6,25.3,0,0,0,0,0,0,0,0
"Oil, corn",100,milliliter,91.3,846,0,0,13.4,27.7,52.9,0,0,0,0,0,0,0,0
"Oil, soybean",100,milliliter,91.3,851.4,0,0,14.9,22.1,57.6,0,0,0,0,0,0,0,0
"Oil, olive, extra virgin",100,milliliter,90.7,843.03,0,0,15.4,69.2,9.07,0,0,0,0,0,0,0,0
"Eggs, Grade A, Large, egg whole",1,egg,50.3,148,12.4,9.96,3.2,3.63,1.82,0,0.96,0,0,0,129,132,411
"Pork, cured, bacon, cooked, restaurant",1,slice,6.3,500,40.9,36.5,12.6,15.8,6,0.15,2.1,0,0,0,1830,557,0
"Butter, stick, unsalted",100,g,100,733.5,0,81.5,0,0,0,0,0,0,0,0,10,19,234
"Flour, wheat, all-purpose, enriched, bleached",100,g,100,366,10.9,1.48,0,0,0,0,77.3,0,0,0,2,136,0
"Flour, wheat, all-purpose, enriched, unbleached",100,g,100,358,13.1,1.48,0,0,0,0,73.2,0,0,0,4,135,0
"Flour, wheat, all-purpose, unenriched, unbleached",100,g,100,362,12,1.7,0,0,0,0,74.6,0,0,3,2,150,0
"Flour, whole wheat, unenriched",100,g,100,370,15.1,2.73,0,0,0,0,71.2,0,0,10.6,3,376,0
"Flour, bread, white, enriched, unbleached",100,g,100,363,14.3,1.65,0,0,0,0,72.8,0,0,0,3,127,0
"Flour, rice, white, unenriched",100,g,100,359,6.94,1.3,0,0,0,0,79.8,0,0,0.5,5,75,0
"Flour, corn, yellow, fine meal, enriched",100,g,100,364,6.2,1.74,0,0,0,0,80.8,0,0,4.3,0,144,0
"Butter, stick, salted",100,g,100,1324.98,0,82.2,45.6,16.9,2.52,0,0,0,0,0,524,23,235
"Onions, red, raw",1,Onion,197,44,0.94,0.1,0,0,0,0,9.93,0,0,2.2,1,197,0
"Onions, yellow, raw",1,Onion,143,38,0.83,0.05,0,0,0,0,8.61,0,0,1.9,1,182,0
"Garlic, raw",100,g,100,143,6.62,0.38,0,0,0,0,28.2,0,0,2.7,0,0,0
"Flour, soy, defatted",100,g,100,366,51.1,3.33,0,0,0,0,32.9,0,0,0,2,2480,0
"Flour, soy, full-fat",100,g,100,452,38.6,20.7,0,0,0,0,27.9,0,0,0,2,1860,0
"Flour, rice, brown",100,g,100,365,7.19,3.85,0,0,0,0,75.5,0,0,0,1,265,0
"Flour, rice, glutinous",100,g,100,358,6.69,1.16,0,0,0,0,80.1,0,0,0,6,80,0
"Flour, pastry, unenriched, unbleached",100,g,100,358,8.75,1.64,0,0,0,0,77.2,0,0,0,1,142,0
"Onions, white, raw",100,g,100,35,0.89,0.13,0,0,0,0,7.68,0,0,1.2,2,141,0
"Bananas, overripe, raw",1,Banana,110,85,0.73,0.22,0,0,0,0,20.1,0,0,1.7,0,0,0
