food_id ,calories,protein,fat,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,carbohydrates,total_sugars,added_sugars,fiber,sodium,potassium,cholesterol
470,300,0,7.5,5,0,0,0,55,55,0,0,0.127,0,0.025
471,308,0,30.8,3.33,0,0,0,6.67,3.33,0,0,0.733,0,0
472,297,0,6.33,3.67,0,0,0,54,0,0,6.3,0,0,0.013
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,15.9,0,0,0,0,0,0,2.67,0,0,0,1.31,0,0
475,283,0,7,4,0,0,0,55,55,0,0,0.168,0,0.0135
476,452,0,17.6,6.19,0,0,0,69.3,27.1,0,6.43,0.329,0,0
477,325,0,8.9,6.9,0,0,0,54,54,0,2,0.095,0,0
478,340,0,6,4,0,0,0,65,65,0,0,0.04,0,0
479,22,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0
480,22,0,0,0,0,0,0,1.6,1.6,0,0,0,0,0
481,10,0,0,0,0,0,0,2.2,0.32,0,0,0.216,0,0
482,376,0,3,0.6,0,0,0,76,0,0,2.4,0.24,0,0
483,41,0,0,0,0,0,0,9.5,0,0,0.6,0,0,0
484,29.5,0,0,0,0,0,0,6.5,6.5,0,0.9,0,1.33e-07,0
485,120,0,0,0,0,0,0,29,28,0,1,0,0,0
486,232,0,4.8,3.2,0,0,0,38.3,29.5,0,0,0.06,0,0
487,580,0,40,0,0,0,0,0,0,0,0,1.04,0,0
488,396,0,11.4,5.1,2.61,3.66,0,67.9,44.4,41.8,0.915,0.157,0.186,0.0144
489,430,0,15.3,7.76,4.94,2.65,0,58.2,40.6,33.5,1.76,0.0776,0.303,0.0123
490,439,0,16.4,7.94,5.64,2.82,0,63.5,45.9,42.3,1.41,0.0776,0,0.0155
491,315,0,7,4.5,0,0,0,55,55,45,0,0.12,0.33,0.02
492,110,0,4,1,0,0,0,0,0,0,0,0,0,0
493,372,0,21.7,4.48,0,0,0,40.8,0,0,2.52,0,0,0
494,68,0,0.5,0.2,0,0,0,0,0,0,0,0.156,0,0
495,335,0,0,0,0,0,0,80,0,0,0,0,0,0
496,270,0,0.4,0.4,0,0,0,0,0.6,0,2.4,0,0,0
497,269,0,2.5,0.3,1.5,0.4,0,70,13,0,14,0.096,0,0
498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,314,0,0,0,0,0,0,73.2,0,0,0,0.182,0,0
500,400,0,15,8.2,0,0,0.2,59,40,40,1.9,0.169,0,0
501,348.1,0,8.9,4.2,0,0,0,67,18,0,8.9,0.168656,0,0.0011
502,346,0,1.9,0.4,0.5,1,0,72,15,0,9.1,0.404,0,0
503,25.2,0,2.8,1.2,0.4,0.9,0,0,0,0,0,0,0,0
504,320,0,0,0,0,0,0,80,66,0,0,0,0,0
505,94,0,1.3,0.6,0.3,0.2,0,0,0,0,0,0.579,0,0.042
506,473,0,24,12,8.4,3.4,0,60,36,0,1,0.16,0,0
507,457,0,25,13,8,3.5,0.2,53,34,0,3,0.163,0,0
508,497,0,24,12,7.5,3.3,0.5,65,43,0,2.9,0.2,0,0
509,542,0,31,11,0,0,0,58,56,0,3,0.042,0,0
510,360,0,1.5,1,0,0,0,72,4,0,3,0,0,0
511,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
512,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
513,355,0,1.7,0.9,0,0,0,73,3.9,0,0,0.0016,0,0
514,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
515,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
516,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
517,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
518,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
519,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
520,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0.0021000000000000003,0
522,333,0,0,0,0,0,0,83,79,0,0,0.016,0,0
523,420,0,10.7,1.33,8,1.67,0,70,0,0,1.33,0.56,0,0
524,525,0,27,2.7,0,0,0,63,9.5,0,0,0.92,0,0
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,400,0,44.7,29.3,0,0,0,0,0,0,0,0,0,0
527,333,0,0,0,0,0,0,70,21.1,0,0,0,0,0
528,336,0,3,0,0,0,0,73,19,0,0,1.752,0,0
529,3.52,0,0,0,0,0,0,0.88,0.85,0,0,1.016e-05,0,0
530,378,0,8.5,4.25,0,0,0,70,0,0,3.5,0.705,0,0
531,3.52,0,0,0,0,0,0,0.88,0.85,0,0,1.016e-05,0,0
532,152,0,2,0.004,0,0,0,31,7,0,3,0.139192,0,0
533,194,0,16,9.3,0,0,0,3.8,0,0,0,0.36982400000000004,0,0
534,585,0,49,6.5,40,2.5,0,10,7.5,0,9,0,0,0
535,3.1,0,0,0,0,0,0,0.78,0.78,0,0,0,0,0
536,470,0,24.5,13.5,0,0,0,60,55,0,6.5,2.24e-05,0,0
537,514,0,31,16,0,0,0,55,33,0,0,5.64,0,0
538,228,0,5.1,2.2,0,0,0,40,0,0,0,0.063,0,0
539,133,0,2.72,1.17,0,0,0,23.9,0,0,0,0.0356,0,0.00722
540,131,0,6.5,3.5,0,0,0,17,0,0,2,2.4,0,0
541,413,0,16.7,3.33,0,0,0,53.3,0,0,3.33,0.0367,0,0
542,380,0,17.7,7.67,7.33,1.33,0,50,0,0,1.33,0.37,0,0.0293
543,28,0,0,0,0,0,0,3.3,0,0,0,0,0,0
544,21,0,0,0,0,0,0,4.7,0,0,0,0.024,0,0
545,60,0,0,0,0,0,0,16,13,0,1,4,0,0
546,509,0,23,11,9.7,1.3,0.7,69,43,0,1.1,0.162,0,0.044
547,542,0,32.7,15.6,12.7,2.91,0,50.9,50.9,0,2.18,0.0945,0,0.0185
548,556,0,36,18,0,0,0,48,43,0,0,0.095,0,0
549,457,0,19,15,0,0,0,70,51,0,0,0.242824,0,0
550,84.1,0,1.34,0.854,0,0,0,13.4,0,0,0,0.105,0,0
551,352,0,2.77,0.82,0,0,0,75.28,0,0,1.03,0.04315,0,0
552,270,0,17,1.9,0,0,0,4,0,0,1.9,0.246,0,0
553,138,0,4.67,0.5,0,0,0,0,0,0,0,0.39,0,0
554,332,0,0,0,0,0,0,76,0,0,2,0,0,0
555,418,0,14.1,8.18,0,0,0,68.2,35.5,0,4.09,0.12,0,0
556,392,0,7.9,1.3,4.1,2.5,0,73,40,40,1.6,0.051000000000000004,0,0
557,315,0,7,5,0,0,0,55,50,39,0,0.145,0,0
558,546,0,31.5,14.6,0,0,0,53.8,53.8,0,0,0.145,0,0
559,439,0,16.4,7.94,0,0,0,63.5,45.9,0,0.882,0.0776,0.309,0.0155
560,40.8,0,1.41,0.66,0,0,0,5.7,0,0,0,0,0,0
561,142,0,0,0,0,0,0,33.3,0,0,2.5,0,0,0
562,357,0,1.4,0.2,0,0,0,80,37,0,0,2.92,0,0
563,170,0,1,0.833,0,0,0,0,0,0,1,0.348,0,0
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,28,0,0,0,0,0,0,5.4,4.1,0,1.3,0.0048000000000000004,0,0
566,379,0,12.1,0,0,0,0,0,3.45,0,0,0.561,0,0
567,42,0,4.6,1,0,0,0,1,0.1,0,0,2.4,0,0
568,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0
569,305,0,7,4.5,0,0,0,55,48.5,39.5,0,0.12,0,0
570,76,0,0,0,0,0,0,17.2,7.4,0,0.9,0.012,0,0
571,4,0,0,0,0,0,0,1.1,0,0,0,0.0047,0,0
572,321,0,6.4,3.8,0,0,0,61,61,0,0,0.0464,0,0
573,100,0,3,3,0,0,0,4,2,0,0,0.4,0,0
574,46,0,0,0,0,0,0,11.5,11.5,0,0,0.009,0,0
575,289,0,6.6,3.6,0,0,0,57,0,0,0,0.10972799999999999,0,0
576,45,0,0,0,0,0,0,11.2,0,0,0,0,0,0
577,438,0,13,6,0,0,0,69,0.8,0,0,0.44,0,0
578,404,0,14.9,8,0,0,0.364,60,36.4,30.9,1.64,0.113,0,0
579,64,0,1.2,0.8,0,0,0,12,12,0,0,0.09,0,0
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,401,0,14,7.3,0,0,0,63,44.7,0,0,0.0292,0,0
582,94,0,0,0,0,0,0,23,20,0,1.3,0.0076,0,0
583,40,0,0,0,0,0,0,8.8,2.4,0,1,0.01,0,0
584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,220,0,4.71,0.706,1.29,2.59,0,35.3,0.471,0,5.76,0.46,0,0
586,9,0,0,0,0,0,0,0.68,0.68,0,0,0.0004,0,0
587,24,0,0,0,0,0,0,3.6,0,0,0,3.6,0,0
588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,417,0,11,3.67,0,0,0,66.7,0,0,7.33,0.433,0,0
590,286,0,6.8,3,0,0,0,48,9.6,0,3,0.545,0,0
591,119,0,2,0.231,0,0,0,19.2,0,0,2.23,0.242,0,0
592,110,0,5.83,1.33,0,0,0,0,0,0,0,0.406,0,0.0367
593,468,0,15.3,3.4,0,0,0,68.1,8.51,0,2.55,0.692,0,0
594,329,0,1,0,0.25,0.75,0,68.8,0,0,3,0.01,0,0
595,0,0,0,0,0,0,0,15,0,0,0,0,0,0
596,140,0,8.33,5.33,0,0,0,6,0,0,0,0.127,0,0
597,63.00000000000001,0,6.2,0,0,0,0,1.8,0,0,0,0.057912,0,0
