id,barcode,name
526,77927361,"Tableta de Dulce de Leche, Vauquita"
527,77939234,"Alfajor Clásico, Terrabusi"
528,77995407,"Barra de cereales cereal mix Yoghurt Frutilla Light, Arcor"
529,7891000001516,"Tradicional, Nestlé,Nesfit"
530,7891000085028,"Frutas, Nestlé,Nesfit"
531,7891118013586,"Chicle de Bola recheado sabor Tuti Frutti, Arcor, Poosh!"
532,7891167011779,"Atum Ralado Ao Natural, Gomes da Costa"
533,7891962032283,"Wafer Fresa/Frutilla, Bauducco"
534,7891962032290,"Wafer Chocolate, Bauducco"
535,7891962036915,"Wafer Chocolate con Avellana, Bauducco"
536,7898024394181,"Nutella 350g, Ferrero"
537,8005121000061,"Bucatini 6, Divella"
538,8005121000085,"Spaghetti Ristorante 8, Divella"
539,8005121000092,"Spaghettini 9, Divella"
540,8005121000122,"Fettuccine 12, Divella"
541,8005121000146,"Linguine 14, Divella"
542,8005121000177,"Rigatoni 17, Divella"
543,8005121000276,"Penne Ziti Rigate 27, Divella"
544,8005121000405,"Fusilli 40, Divella"
545,8005121000535,"Gomiti 53, Divella"
546,8005121000900,"Fettuccine 90, Divella"
547,8005121000917,"Tagliatelle 91, Divella"
548,8411902004027,"Agua mineral natural, Cabreiroá"
549,8480000154361,"Miel de Flores, Hacendado"
550,8480017047700,"palitos de maiz, Dia"
551,8480017085054,"Mini Cracker Light, Dia"
552,8480017129512,"Mini galletas saladas crackers, Dia"
553,8480017299994,"endulzante dietetico  Dia, Dia"
554,7790710000188,"Silueta, CBSé"
555,7790045011804,"semoladas, Granix"
556,7793913000115,"Crema de leche, Tregar"
557,7794000598478,"sopa, Knorr"
558,7791019172613,"Granola Crujiente Low Fat - 3 Arroyos, 3 Arroyos"
559,7792129002319,"Canderel Clásico, KMD México"
560,7790070410146,"Exquisita bizcochuelo chocolate, Exquisita"
561,7790360000040,"CORNED BEEF, EXETER"
562,7792129002326,"Canderel Clásico, KMD México"
563,7792170000975,"quadritos de avena, quaker"
564,7790742163509,"Finlandia Light, La Serenísima"
565,7798151952332,"Pasta de Maní Natural, Maní King"
566,7792129003637,"Stevia, Equal sweet"
567,7790580105822,"Chocolate semi amargo, Aguila"
568,7790710000331,"Guaraná, CBSé"
569,7791875006121,"Alfajores au cacao, Havanna"
570,08711233,Cigarrillo
571,7793913000511,"Rice Pudding (Cinnamon flavor), Tregar"
572,7793913001662,"Arroz con leche con chocolate(10732), Tregar"
573,7793913000504,"Arroz con Leche light, Tregar"
574,7792360071365,"Chocolate taza, Bonafide"
575,7792180130778,"Galletas de avena con manzana y canela, Molino cañuelas"
576,7792798005888,"Brahma, "
577,7792180009524,"Scons con sabor a limón, 9 de oro,Molino cañuelas"
578,7613035068377,"dolca, Nescafé"
579,7793147000752,", Imperial"
580,7798062547801,"Agua mineral natural con gas, Villavicencio"
581,7798062547788,"Agua con Gas, Villavicencio, Danone"
582,7791813421368,"Paso de los Toros Tonica, Pepsico"
583,7790895004599,Schweppes
584,7791445002065,"Mate, cruz de malta"
